
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
OneDrive.exe                  4872 Console                    1      9,376 K Running         DESKTOP-3RA9GFF\komang                                  0:00:08 N/A                                                                     
dllhost.exe                   4880 Console                    1      6,552 K Running         DESKTOP-3RA9GFF\komang                                  0:00:01 OleMainThreadWndName                                                    
RuntimeBroker.exe             3792 Console                    1      9,312 K Running         DESKTOP-3RA9GFF\komang                                  0:00:05 OleMainThreadWndName                                                    
svchost.exe                   5280 Services                   0      1,180 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
SgrmBroker.exe                5400 Services                   0      4,116 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:02 N/A                                                                     
svchost.exe                   5504 Services                   0      2,592 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:01 N/A                                                                     
ShellExperienceHost.exe       5228 Console                    1     25,300 K Running         DESKTOP-3RA9GFF\komang                                  0:00:07 New notification                                                        
RuntimeBroker.exe             3768 Console                    1     13,044 K Running         DESKTOP-3RA9GFF\komang                                  0:00:03 N/A                                                                     
svchost.exe                   3272 Services                   0      3,484 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
Microsoft.Photos.exe          6024 Console                    1         16 K Running         DESKTOP-3RA9GFF\komang                                  0:00:02 OleMainThreadWndName                                                    
RuntimeBroker.exe             1560 Console                    1      3,672 K Running         DESKTOP-3RA9GFF\komang                                  0:00:01 N/A                                                                     
msedge.exe                    3100 Console                    1     51,956 K Running         DESKTOP-3RA9GFF\komang                                  0:01:12 Device Activation - Profile 1 - Microsoft? Edge                         
msedge.exe                    6012 Console                    1      1,912 K Running         DESKTOP-3RA9GFF\komang                                  0:00:00 N/A                                                                     
msedge.exe                    4924 Console                    1     17,568 K Running         DESKTOP-3RA9GFF\komang                                  0:00:12 OleMainThreadWndName                                                    
msedge.exe                    5640 Console                    1      5,624 K Unknown         DESKTOP-3RA9GFF\komang                                  0:01:17 N/A                                                                     
msedge.exe                    6120 Console                    1      4,224 K Unknown         DESKTOP-3RA9GFF\komang                                  0:00:01 N/A                                                                     
msedge.exe                    4252 Console                    1      5,668 K Unknown         DESKTOP-3RA9GFF\komang                                  0:00:20 N/A                                                                     
msedge.exe                    4020 Console                    1      9,884 K Running         DESKTOP-3RA9GFF\komang                                  0:00:01 OleMainThreadWndName                                                    
SearchApp.exe                 4812 Console                    1      1,024 K Running         DESKTOP-3RA9GFF\komang                                  0:00:15 News and interests                                                      
msedgewebview2.exe            5472 Console                    1      1,900 K Running         DESKTOP-3RA9GFF\komang                                  0:00:20 N/A                                                                     
msedgewebview2.exe            1028 Console                    1        460 K Running         DESKTOP-3RA9GFF\komang                                  0:00:00 N/A                                                                     
msedgewebview2.exe            5712 Console                    1      1,600 K Running         DESKTOP-3RA9GFF\komang                                  0:00:27 N/A                                                                     
msedgewebview2.exe            3500 Console                    1      3,228 K Running         DESKTOP-3RA9GFF\komang                                  0:00:14 OleMainThreadWndName                                                    
msedgewebview2.exe            6128 Console                    1        588 K Unknown         DESKTOP-3RA9GFF\komang                                  0:00:00 N/A                                                                     
msedgewebview2.exe            1888 Console                    1         40 K Unknown         DESKTOP-3RA9GFF\komang                                  0:01:22 N/A                                                                     
svchost.exe                   1516 Console                    1      4,560 K Unknown         DESKTOP-3RA9GFF\komang                                  0:00:00 N/A                                                                     
SystemSettingsBroker.exe       580 Console                    1      2,696 K Unknown         DESKTOP-3RA9GFF\komang                                  0:00:00 N/A                                                                     
cmd.exe                        928 Console                    1      4,264 K Running         DESKTOP-3RA9GFF\komang                                  0:00:00 Administrator: Command Prompt - tasklist  /V                            
conhost.exe                   6268 Console                    1     21,268 K Running         DESKTOP-3RA9GFF\komang                                  0:00:01 N/A                                                                     
VSSVC.exe                     3504 Services                   0      9,508 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   4552 Services                   0      8,788 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                  6940 Services                   0     10,100 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:00 N/A                                                                     
tasklist.exe                  6780 Console                    1      9,044 K Unknown         DESKTOP-3RA9GFF\komang                                  0:00:00 N/A                                                                     
